ID_UBICACION;STOCK;MARCA;CLASES_ABC;ANTIGUEDAD_MAX_DIAS;OCUPACION_%;CONTENIDO_DETALLE
CLABD/Stock/StorageBD/CLA-004-01-01-01;200;BLACK;A+D;89;20;[IBGB2400000720896] [DFKSUN0164-0800_C_UNI_UNI_50] Pack Ultra Light SQ Low Navy / Black | [IBGB2400000719772] [DFSU921001-AMBE_C_50] PACK Jiggy Crystal Amber / Blue | [IBGB2400000719764] [DFSU921001-AMBE_C_50] PACK Jiggy Crystal Amber / Blue | [IBGB2400000719763] [DFSU921001-AMBE_C_50] PACK Jiggy Crystal Amber / Blue
CLABD/Stock/StorageBD/CLA-004-01-01-02;450;BLACK;A+D;89;45;[IBGB2400000719929] [DFSU921001-TRAN_C_50] Pack JIGGY TRANSPARENT / SMOKE x 50 unid | [IBGB2400000719879] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719859] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719850] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719843] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719834] [DFSU921001-BLAC_C_50] Pack JIGGY BLACK / BLACK x 50 unid | [IBGB2400000719830] [DFSU921001-BLAC_C_50] Pack JIGGY BLACK / BLACK x 50 unid | [IBGB2400000719795] [DFSU921001-BLAC_C_50] Pack JIGGY BLACK / BLACK x 50 unid | [IBGB2400000719756] [DFSU921001-AMBE_C_50] PACK Jiggy Crystal Amber / Blue
CLABD/Stock/StorageBD/CLA-004-01-02-01;550;BLACK;A+D;89;55;[IBGB2400000721062] [DFSU918001-TORT_C_50] Pack ULTRA LIGHT SQ MED TORTOISE / SMOKE x 50 unid | [IBGB2400000721061] [DFSU918001-TORT_C_50] Pack ULTRA LIGHT SQ MED TORTOISE / SMOKE x 50 unid | [IBGB2400000721044] [DFSU918001-TORT_C_50] Pack ULTRA LIGHT SQ MED TORTOISE / SMOKE x 50 unid | [IBGB2400000721034] [DFSU918001-GREE_C_50] Pack ULTRA LIGHT SQ MED CRYSTAL GREEN / GRAD SMOKE x 50 unid | [IBGB2400000721033] [DFSU918001-GREE_C_50] Pack ULTRA LIGHT SQ MED CRYSTAL GREEN / GRAD SMOKE x 50 unid | [IBGB2400000721019] [DFSU918001-GREE_C_50] Pack ULTRA LIGHT SQ MED CRYSTAL GREEN / GRAD SMOKE x 50 unid | [IBGB2400000721018] [DFSU918001-GREE_C_50] Pack ULTRA LIGHT SQ MED CRYSTAL GREEN / GRAD SMOKE x 50 unid | [IBGB2400000721011] [DFSU918001-GREE_C_50] Pack ULTRA LIGHT SQ MED CRYSTAL GREEN / GRAD SMOKE x 50 unid | [IBGB2400000720890] [DFKSUN0164-0800_C_UNI_UNI_50] Pack Ultra Light SQ Low Navy / Black | [IBGB2400000719791] [DFSU921001-BLAC_C_50] Pack JIGGY BLACK / BLACK x 50 unid | [IBGB2400000719773] [DFSU921001-AMBE_C_50] PACK Jiggy Crystal Amber / Blue
CLABD/Stock/StorageBD/CLA-004-01-02-02;1050;BLACK;A+D;89;105;[IBGB2400000721057] [DFSU918001-TORT_C_50] Pack ULTRA LIGHT SQ MED TORTOISE / SMOKE x 50 unid | [IBGB2400000721055] [DFSU918001-TORT_C_50] Pack ULTRA LIGHT SQ MED TORTOISE / SMOKE x 50 unid | [IBGB2400000720895] [DFKSUN0164-0800_C_UNI_UNI_50] Pack Ultra Light SQ Low Navy / Black | [IBGB2400000720530] [DFSU919001-BLUE_C_50] Pack ULTRA LIGHT S SQUARE BLACK / BLUE x 50 unid | [IBGB2400000719971] [DFSU921001-TRAN_C_50] Pack JIGGY TRANSPARENT / SMOKE x 50 unid | [IBGB2400000719969] [DFSU921001-TRAN_C_50] Pack JIGGY TRANSPARENT / SMOKE x 50 unid | [IBGB2400000719964] [DFSU921001-TRAN_C_50] Pack JIGGY TRANSPARENT / SMOKE x 50 unid | [IBGB2400000719962] [DFSU921001-TRAN_C_50] Pack JIGGY TRANSPARENT / SMOKE x 50 unid | [IBGB2400000719958] [DFSU921001-TRAN_C_50] Pack JIGGY TRANSPARENT / SMOKE x 50 unid | [IBGB2400000719944] [DFSU921001-TRAN_C_50] Pack JIGGY TRANSPARENT / SMOKE x 50 unid | [IBGB2400000719928] [DFSU921001-TRAN_C_50] Pack JIGGY TRANSPARENT / SMOKE x 50 unid | [IBGB2400000719900] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719894] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719889] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719888] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719854] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719849] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719847] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719838] [DFSU921001-BLAC_C_50] Pack JIGGY BLACK / BLACK x 50 unid | [IBGB2400000719818] [DFSU921001-BLAC_C_50] Pack JIGGY BLACK / BLACK x 50 unid | [IBGB2400000719768] [DFSU921001-AMBE_C_50] PACK Jiggy Crystal Amber / Blue
CLABD/Stock/StorageBD/CLA-004-01-02-03;250;BLACK;A+D;89;25;[IBGB2400000720718] [DFKSUN0173-0800_C_UNI_UNI_50] Pack Ultra Light SQ High Navy / Black | [IBGB2400000720396] [DFKSUN0216-0813_C_50] Pack Ultra Light S Round Trans Brown / Trans Blue x 50 unid | [IBGB2400000720228] [DFKSUN0140-0801_C_UNI_UNI_50] Pack Ultra Light Max Black / Grad Black | [IBGB2400000719630] [DFSU944001-GREY_C_50] PACK Boyd Dark Grey / Brown | [IBGB2400000719623] [DFSU944001-BLAC_C_50] PACK Boyd Black / Black
CLABD/Stock/StorageBD/CLA-004-01-03-03;1150;BLACK;A+D;89;115;[IBGB2400000721051] [DFSU918001-TORT_C_50] Pack ULTRA LIGHT SQ MED TORTOISE / SMOKE x 50 unid | [IBGB2400000720986] [DFKSUN0182-0801_C_UNI_UNI_50] Pack ULTRA LIGHT SQ MED BLACK / GRAD BLACK | [IBGB2400000720970] [DFKSUN0182-0801_C_UNI_UNI_50] Pack ULTRA LIGHT SQ MED BLACK / GRAD BLACK | [IBGB2400000720945] [DFKSUN0181-0804_C_UNI_UNI_50] Pack Ultra Light SQ Med Black / G15 | [IBGB2400000720891] [DFKSUN0164-0800_C_UNI_UNI_50] Pack Ultra Light SQ Low Navy / Black | [IBGB2400000720882] [DFKSUN0163-0804_C_UNI_UNI_50] Pack ULTRA LIGHT SQ LOW MATTE BLACK / G15 | [IBGB2400000720543] [DFSU919001-LAVE_C_50] PACK Ultra Light S Square Trans / Photochromic Lavender | [IBGB2400000719972] [DFSU921001-TRAN_C_50] Pack JIGGY TRANSPARENT / SMOKE x 50 unid | [IBGB2400000719955] [DFSU921001-TRAN_C_50] Pack JIGGY TRANSPARENT / SMOKE x 50 unid | [IBGB2400000719947] [DFSU921001-TRAN_C_50] Pack JIGGY TRANSPARENT / SMOKE x 50 unid | [IBGB2400000719935] [DFSU921001-TRAN_C_50] Pack JIGGY TRANSPARENT / SMOKE x 50 unid | [IBGB2400000719918] [DFSU921001-TRAN_C_50] Pack JIGGY TRANSPARENT / SMOKE x 50 unid | [IBGB2400000719908] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719902] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719891] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719866] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719855] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719852] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719844] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719839] [DFSU921001-BLAC_C_50] Pack JIGGY BLACK / BLACK x 50 unid | [IBGB2400000719766] [DFSU921001-AMBE_C_50] PACK Jiggy Crystal Amber / Blue | [IBGB2400000719765] [DFSU921001-AMBE_C_50] PACK Jiggy Crystal Amber / Blue | [IBGB2400000719761] [DFSU921001-AMBE_C_50] PACK Jiggy Crystal Amber / Blue
CLABD/Stock/StorageBD/CLA-004-02-01-01;650;BLACK;A+D;89;65;[IBGB2400000720888] [DFKSUN0163-0804_C_UNI_UNI_50] Pack ULTRA LIGHT SQ LOW MATTE BLACK / G15 | [IBGB2400000720695] [DFKSUN0172-0804_C_UNI_UNI_50] Pack ULTRA LIGHT SQ HIGH BLACK / G15 | [IBGB2400000720388] [DFKSUN0216-0813_C_50] Pack Ultra Light S Round Trans Brown / Trans Blue x 50 unid | [IBGB2400000720382] [DFKSUN0216-0813_C_50] Pack Ultra Light S Round Trans Brown / Trans Blue x 50 unid | [IBGB2400000720357] [DFKSUN0216-0813_C_50] Pack Ultra Light S Round Trans Brown / Trans Blue x 50 unid | [IBGB2400000720354] [DFKSUN0216-0813_C_50] Pack Ultra Light S Round Trans Brown / Trans Blue x 50 unid | [IBGB2400000720349] [DFKSUN0216-0813_C_50] Pack Ultra Light S Round Trans Brown / Trans Blue x 50 unid | [IBGB2400000720348] [DFKSUN0216-0813_C_50] Pack Ultra Light S Round Trans Brown / Trans Blue x 50 unid | [IBGB2400000720144] [DFSU939002-GREE_C_50] PACK Rift Matte Black / Green Revo | [IBGB2400000720100] [DFSU939001-SILV_C_50] PACK Rift Transperent / Silver | [IBGB2400000720069] [DFSU939001-BLAC_C_50] PACK Rift Black / Yellow Revo | [IBGB2400000720067] [DFSU939001-BLAC_C_50] PACK Rift Black / Yellow Revo | [IBGB2400000719624] [DFSU944001-BLAC_C_50] PACK Boyd Black / Black
CLABD/Stock/StorageBD/CLA-004-02-01-03;850;BLACK;A+D;89;85;[IBGB2400000720893] [DFKSUN0164-0800_C_UNI_UNI_50] Pack Ultra Light SQ Low Navy / Black | [IBGB2400000720887] [DFKSUN0163-0804_C_UNI_UNI_50] Pack ULTRA LIGHT SQ LOW MATTE BLACK / G15 | [IBGB2400000720731] [DFKSUN0174-0804_C_UNI_UNI_50] Pack Ultra Light SQ High Carey / G15 | [IBGB2400000720667] [DFKSUN0171-0800_C_UNI_UNI_50] Pack Ultra Light SQ High Black / Black | [IBGB2400000720391] [DFKSUN0216-0813_C_50] Pack Ultra Light S Round Trans Brown / Trans Blue x 50 unid | [IBGB2400000720376] [DFKSUN0216-0813_C_50] Pack Ultra Light S Round Trans Brown / Trans Blue x 50 unid | [IBGB2400000720375] [DFKSUN0216-0813_C_50] Pack Ultra Light S Round Trans Brown / Trans Blue x 50 unid | [IBGB2400000720234] [DFKSUN0142-0813_C_50] Pack Ultra Light Max Honey / Grad Blue x 50 unid | [IBGB2400000720229] [DFKSUN0142-0813_C_50] Pack Ultra Light Max Honey / Grad Blue x 50 unid | [IBGB2400000720223] [DFKSUN0140-0801_C_UNI_UNI_50] Pack Ultra Light Max Black / Grad Black | [IBGB2400000720211] [DFKSUN0140-0801_C_UNI_UNI_50] Pack Ultra Light Max Black / Grad Black | [IBGB2400000720106] [DFSU939002-BLAC_C_50] PACK Rift Matte Black / G15 | [IBGB2400000720098] [DFSU939001-SILV_C_50] PACK Rift Transperent / Silver | [IBGB2400000720088] [DFSU939001-GREY_C_50] PACK Rift Trans Grey / Blue Revo | [IBGB2400000720083] [DFSU939001-GREY_C_50] PACK Rift Trans Grey / Blue Revo | [IBGB2400000720070] [DFSU939001-DGRE_C_50] PACK Rift Trans Dark Grey / Red Revo | [IBGB2400000719632] [DFSU944001-GREY_C_50] PACK Boyd Dark Grey / Brown
CLABD/Stock/StorageBD/CLA-004-02-02-01;900;BLACK;A+D;89;90;[IBGB2400000720703] [DFKSUN0172-0804_C_UNI_UNI_50] Pack ULTRA LIGHT SQ HIGH BLACK / G15 | [IBGB2400000720698] [DFKSUN0172-0804_C_UNI_UNI_50] Pack ULTRA LIGHT SQ HIGH BLACK / G15 | [IBGB2400000720697] [DFKSUN0172-0804_C_UNI_UNI_50] Pack ULTRA LIGHT SQ HIGH BLACK / G15 | [IBGB2400000720394] [DFKSUN0216-0813_C_50] Pack Ultra Light S Round Trans Brown / Trans Blue x 50 unid | [IBGB2400000720383] [DFKSUN0216-0813_C_50] Pack Ultra Light S Round Trans Brown / Trans Blue x 50 unid | [IBGB2400000720366] [DFKSUN0216-0813_C_50] Pack Ultra Light S Round Trans Brown / Trans Blue x 50 unid | [IBGB2400000720355] [DFKSUN0216-0813_C_50] Pack Ultra Light S Round Trans Brown / Trans Blue x 50 unid | [IBGB2400000720333] [DFKSUN0214-0802_C_UNI_UNI_50] Pack Ultra Light S Round Amber / Brown | [IBGB2400000720331] [DFKSUN0214-0802_C_UNI_UNI_50] Pack Ultra Light S Round Amber / Brown | [IBGB2400000720254] [DFKSUN0143-0800_C_50] Pack Ultra Light Max Black / Black 50ud. | [IBGB2400000720209] [DFKSUN0140-0801_C_UNI_UNI_50] Pack Ultra Light Max Black / Grad Black | [IBGB2400000720126] [DFSU939002-BLAC_C_50] PACK Rift Matte Black / G15 | [IBGB2400000720081] [DFSU939001-GREY_C_50] PACK Rift Trans Grey / Blue Revo | [IBGB2400000720080] [DFSU939001-GREY_C_50] PACK Rift Trans Grey / Blue Revo | [IBGB2400000720073] [DFSU939001-DGRE_C_50] PACK Rift Trans Dark Grey / Red Revo | [IBGB2400000720072] [DFSU939001-DGRE_C_50] PACK Rift Trans Dark Grey / Red Revo | [IBGB2400000719663] [DFKSUN0245-0804_C_50] Pack Jackson Square Shiny Demi / G15 x 50 unid | [IBGB2400000719637] [DFSU944001-TORT_C_50] PACK Boyd Tort / Black
CLABD/Stock/StorageBD/CLA-004-02-02-03;1200;BLACK;A+D;89;120;[IBGB2400000720874] [DFKSUN0161-0800_C_UNI_UNI_50] Pack Ultra Light SQ Low Black / Black | [IBGB2400000720871] [DFKSUN0161-0800_C_UNI_UNI_50] Pack Ultra Light SQ Low Black / Black | [IBGB2400000720870] [DFKSUN0161-0800_C_UNI_UNI_50] Pack Ultra Light SQ Low Black / Black | [IBGB2400000720532] [DFSU919001-BLUE_C_50] Pack ULTRA LIGHT S SQUARE BLACK / BLUE x 50 unid | [IBGB2400000719984] [DFSU921001-TRAN_C_50] Pack JIGGY TRANSPARENT / SMOKE x 50 unid | [IBGB2400000719983] [DFSU921001-TRAN_C_50] Pack JIGGY TRANSPARENT / SMOKE x 50 unid | [IBGB2400000719979] [DFSU921001-TRAN_C_50] Pack JIGGY TRANSPARENT / SMOKE x 50 unid | [IBGB2400000719953] [DFSU921001-TRAN_C_50] Pack JIGGY TRANSPARENT / SMOKE x 50 unid | [IBGB2400000719937] [DFSU921001-TRAN_C_50] Pack JIGGY TRANSPARENT / SMOKE x 50 unid | [IBGB2400000719931] [DFSU921001-TRAN_C_50] Pack JIGGY TRANSPARENT / SMOKE x 50 unid | [IBGB2400000719915] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719907] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719895] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719878] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719873] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719870] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719857] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719846] [DFSU921001-GREE_C_50] Pack JIGGY CRYSTAL GREEN / SMOKE x 50 unid | [IBGB2400000719832] [DFSU921001-BLAC_C_50] Pack JIGGY BLACK / BLACK x 50 unid | [IBGB2400000719827] [DFSU921001-BLAC_C_50] Pack JIGGY BLACK / BLACK x 50 unid | [IBGB2400000719826] [DFSU921001-BLAC_C_50] Pack JIGGY BLACK / BLACK x 50 unid | [IBGB2400000719824] [DFSU921001-BLAC_C_50] Pack JIGGY BLACK / BLACK x 50 unid | [IBGB2400000719792] [DFSU921001-BLAC_C_50] Pack JIGGY BLACK / BLACK x 50 unid | [IBGB2400000719754] [DFSU921001-AMBE_C_50] PACK Jiggy Crystal Amber / Blue
